step,time,mu,sigma,entropy,sharpness,sat_hi,sat_lo,exp_100us,exp_ms,delta_exp,reward,mean_pred,uncertainty,ucb_score,action_idx,num_actions
1,1763621208.0167444,19.22,4.390544132311823,1.5477912,11.379609235674067,0.0,0.0,140,14.0,0,-50.0,-46.276002663175305,1.5494232942108046,-43.951867721859095,2,5
2,1763621208.0832715,19.22266927083333,4.394430758862593,1.549903,11.371544919162329,0.0,0.0,141,14.1,1,-50.0,-46.849048565524654,0.9750718411198862,-45.38644080384483,3,5
3,1763621208.1471171,19.311610243055554,4.440313536168185,1.5576593,11.467530381473496,0.0,0.0,138,13.8,-3,-50.0,-46.741193638840016,0.9382298683597868,-45.333848836300334,0,5
4,1763621208.2133307,19.102109375,4.339075609822826,1.5387195,11.392044270362383,0.0,0.0,135,13.5,-3,-50.0,-50.07661623627223,0.7225083700204964,-48.992853681241485,0,5
5,1763621208.2829251,18.896848958333333,4.238033865268026,1.5175651,11.155694323881177,0.0,0.0,134,13.4,-1,-50.0,-51.35224145836108,1.0426097843672633,-49.78832678181018,1,5
6,1763621208.3493404,18.839197048611112,4.214307543422389,1.5121063,11.08602861718072,0.0,0.0,133,13.3,-1,-50.0,-49.68504011247819,0.9504370862125892,-48.25938448315931,1,5
7,1763621208.4161048,18.777430555555554,4.185254704270926,1.5051779,10.990980899085528,0.0,0.0,130,13.0,-3,-50.0,-49.580756336871005,0.6970679324497587,-48.535154438196365,0,5
8,1763621208.5157435,18.57125,4.088330466944233,1.4809346,10.724244767252603,0.0,0.0,129,12.9,-1,-50.0,-51.66539935135022,0.9269252916260872,-50.27501141391109,1,5
9,1763621208.581601,18.514140625,4.056451656648284,1.4729838,10.716809894307456,0.0,0.0,130,13.0,1,-50.0,-47.03197872782317,1.750099533049453,-44.40682942824899,3,5
10,1763621208.6672113,18.570078125,4.086289596627679,1.4804698,10.784214035203725,0.0,0.0,133,13.3,3,-50.0,-49.61184098690644,3.807757044559633,-43.90020542006699,4,5
11,1763621208.716441,18.7844140625,4.185963975590465,1.5058106,11.025611953377426,0.0,0.0,130,13.0,-3,-50.0,-48.7146175587295,0.5466424576900883,-47.89465387219437,0,5
12,1763621208.7825894,18.572916666666668,4.087840306085299,1.4812938,10.831501733398438,0.0,0.0,129,12.9,-1,-50.0,-48.93525929237393,0.7286304549482292,-47.84231360995158,1,5
13,1763621208.880751,18.511944444444445,4.061272853596274,1.4745952,10.711553816731774,0.0,0.0,129,12.9,0,-50.0,-49.58122315888042,1.1062686321605384,-47.92182021063961,2,5
14,1763621208.9489138,18.51641927083333,4.061917632349251,1.4743794,10.650260270785113,0.0,0.0,126,12.6,-3,-50.0,-48.88997624017342,0.5344563161044028,-48.088291766016816,0,5
15,1763621209.0154123,18.30926649305556,3.964235849217042,1.4479691,10.560277760823569,0.0,0.0,125,12.5,-1,-50.0,-48.37911072430543,0.7021224101385903,-47.32592710909754,1,5
16,1763621209.0821767,22.869609375,7.642316631313139,1.9817624,16.16187048970917,0.0,0.0,124,12.4,-1,-50.0,-48.67673696554016,0.6032970396432431,-47.771791406075295,1,5
17,1763621209.1488943,50.93995659722222,33.25892302468625,3.142373,108.41618920597028,0.0,0.0,124,12.4,0,-50.0,-5.130713766669643,10.0,9.869286233330357,2,5
18,1763621209.21547,50.73828125,33.070608013869496,3.1371305,107.33001939493816,0.0,0.0,125,12.5,1,-50.0,-36.71564139364199,3.740392650849809,-31.10505241736728,3,5
19,1763621209.2821946,51.01960503472223,33.2809401031515,3.1444068,108.6940675372654,0.0,0.0,128,12.8,3,-50.0,-37.46580988129099,3.943904158720255,-31.549953643210603,4,5
20,1763621209.3868089,51.74396701388889,33.845011237281184,3.1620166,111.39308097991945,0.0,0.0,127,12.7,-1,-50.0,-43.78003341457325,3.204955782713168,-38.97259974050351,1,5
21,1763621209.4490795,51.33780815972222,33.49921997518504,3.152719,109.25240984276668,0.0,0.0,127,12.7,0,-50.0,-44.566860198885735,2.641309827582911,-40.60489545751137,2,5
22,1763621209.515153,51.26191840277778,33.43589328123559,3.150393,109.7756644512412,0.0,0.0,124,12.4,-3,-50.0,-44.43191837130017,1.5447315964437456,-42.11482097663456,0,5
23,1763621209.5821753,50.159453125,32.528651100364755,3.120472,104.38622198333742,0.0,0.0,125,12.5,1,-50.0,-48.100744280074,0.9629108243924344,-46.65637804348535,3,5
24,1763621209.648021,50.5426171875,32.82918778965004,3.1312094,105.8825732635875,0.0,0.0,128,12.8,3,-50.0,-48.528358466693774,0.9336193539164584,-47.12792943581909,4,5
25,1763621209.7482896,51.45131944444445,33.571213564652545,3.1547117,109.92161756539052,0.0,0.0,129,12.9,1,-50.0,-47.437618529801696,0.8097596799229158,-46.22297900991733,3,5
26,1763621209.814958,51.99659722222222,34.02410497461882,3.1683009,112.71055906364532,0.0,0.0,132,13.2,3,-50.0,-48.02211337153648,0.8789399532292426,-46.70370344169262,4,5
27,1763621209.8812594,53.15255642361111,34.9927763375307,3.1941218,117.77787498070988,0.0,0.0,133,13.3,1,-50.0,-46.150507310824864,0.9239649737936476,-44.76455985013439,3,5
28,1763621209.9477153,53.80907986111111,35.5423765196875,3.2085032,121.41162730999228,0.0,0.0,136,13.6,3,-50.0,-47.35819166904691,1.155871050193913,-45.62438509375604,4,5
29,1763621210.014725,55.14107638888889,36.675664405778335,3.237296,127.96792790730794,0.0,0.0,137,13.7,1,-50.0,-46.13054271000345,1.0480592591917597,-44.55845382121581,3,5
30,1763621210.0859933,55.93208333333333,37.35619285032716,3.255039,132.06367116601265,0.0,0.0,134,13.4,-3,-50.0,-47.76410705412207,1.004242092738349,-46.25774391501455,0,5
31,1763621210.1482074,54.52176649305556,36.17213181400538,3.2240336,125.19688786212308,0.0,0.0,134,13.4,0,-50.0,-49.20463185137469,1.5610482624716635,-46.8630594576672,2,5
32,1763621210.2477438,54.746180555555554,36.37834109315077,3.228942,126.12478906609812,0.0,0.0,137,13.7,3,-50.0,-48.85017172789664,0.904812185321367,-47.49295344991459,4,5
33,1763621210.3141885,56.51446614583333,37.88954305639343,3.268371,135.32795472530788,0.0,0.0,138,13.8,1,-50.0,-49.88364548908429,1.0366700811589409,-48.32864036734588,3,5
34,1763621210.3810108,57.21369791666667,38.49787908848386,3.284798,139.7152216035631,0.0,0.0,139,13.9,1,-49.04799549582483,-47.68412699797047,0.7871937836169419,-46.50333632254505,3,5
35,1763621210.4475574,57.91638020833334,39.115059583268746,3.3007445,141.8893420859254,0.0,0.0,140,14.0,1,-47.81765879342317,-48.07625485359611,0.6735884062026456,-47.065872244292144,3,5
36,1763621210.514193,58.61659722222223,39.72196675562519,3.3164382,146.38487833930125,0.0,0.0,141,14.1,1,-46.57898416365543,-47.81259040072039,0.6175011287398539,-46.886338707610605,3,5
37,1763621210.5807984,59.55817274305556,40.54891070466312,3.3360767,151.5208477961034,0.0,0.0,142,14.2,1,-44.96873017184093,-47.33602094027098,0.5756442301897678,-46.47255459498633,3,5
38,1763621210.647057,60.257213541666665,41.15618208523322,3.3496928,155.95491518343704,1.3020833333333334e-05,0.0,143,14.3,1,-43.74528588241584,-46.51394987250818,0.5612675435225192,-45.6720485572244,3,5
39,1763621210.747333,61.03250868055556,41.83645056602516,3.3638666,160.85318609873454,7.8125e-05,0.0,144,14.4,1,-42.44010376448193,-45.613096475967495,0.5427638820412434,-44.79895065290563,3,5
