step,time,mu,sigma,entropy,sharpness,sat_hi,sat_lo,exp_100us,exp_ms,delta_exp,reward,mean_pred,uncertainty,ucb_score,action_idx,num_actions
0,1763653940.6061265,66.15893663194444,50.66469546687509,3.4103165,206.6987576741348,0.008719618055555555,0.0,190,19.0,-10,10.0,0.0,10.0,15.0,0,7
1,1763653941.1350133,63.762317708333335,48.79461989542842,3.3769841,191.02441076914477,0.008606770833333333,0.0,180,18.0,-10,10.0,8.98247147826383,10.0,23.982471478263832,0,7
2,1763653941.2026823,61.342265625,46.95663445321118,3.3409567,177.52021232546582,0.008420138888888888,0.0,170,17.0,-10,10.0,11.84049026111487,10.0,26.84049026111487,0,7
3,1763653941.2701418,59.520381944444445,45.65810510749319,3.3120618,168.2114969209459,0.007981770833333334,0.0,160,16.0,-10,10.0,9.67737617103717,10.0,24.67737617103717,0,7
4,1763653941.3348567,57.93227430555555,44.57810245833561,3.2848725,158.64572577853733,0.007122395833333333,0.0,150,15.0,-10,10.0,10.238479522160999,10.0,25.238479522161,0,7
5,1763653941.4378002,56.116306423611114,43.23588272813572,3.2517958,150.53143330468072,0.004835069444444445,0.0,140,14.0,-10,10.0,9.91462958567542,10.0,24.91462958567542,0,7
6,1763653941.504279,52.56638454861111,39.93346346799936,3.1810021,131.4984446747203,4.340277777777778e-06,0.0,130,13.0,-10,10.0,7.480966530893855,10.0,22.480966530893856,0,7
7,1763653941.571366,48.71659722222222,36.19640104334336,3.0778942,111.19465195973716,0.0,0.0,120,12.0,-10,10.0,3.7163196267134624,10.0,18.716319626713464,0,7
8,1763653941.6375184,44.43084201388889,32.0057906298161,2.9573622,90.60072707783264,0.0,0.0,110,11.0,-10,10.0,3.0258034407121874,10.0,18.02580344071219,0,7
9,1763653941.705395,40.90307725694444,28.603521070207826,2.8496718,75.83876262069514,0.0,0.0,100,10.0,-10,10.0,5.7333221751883725,10.0,20.733322175188373,0,7
10,1763653941.7672439,37.93868055555556,25.855156581815116,2.7568178,64.32851113974489,0.0,0.0,100,10.0,-10,10.0,12.831182783207035,10.0,27.831182783207034,0,7
11,1763653941.8351023,37.977986111111115,25.894168485766283,2.7579513,64.68360955878364,0.0,0.0,100,10.0,-10,10.0,8.616250216097772,10.0,23.61625021609777,0,7
12,1763653941.9342542,38.10124131944445,26.001271206652643,2.7618282,64.69740756517577,0.0,0.0,100,10.0,-10,10.0,3.6186253034020797,10.0,18.61862530340208,0,7
13,1763653942.003961,38.17497829861111,26.059989949564528,2.7638867,65.084522132704,0.0,0.0,100,10.0,-10,10.0,8.657650448064715,10.0,23.657650448064715,0,7
14,1763653942.0706143,38.26625,26.13352541981383,2.7660177,65.42762266589509,0.0,0.0,100,10.0,-10,-33.98427375106713,3.527865211374013,10.0,18.527865211374014,0,7
15,1763653942.133878,38.36360243055555,26.202873170126143,2.7686872,65.56643571594616,0.0,0.0,100,10.0,-3,-33.556389276752284,0.0,7.465628916191899,11.198443374287848,1,7
16,1763653942.203218,38.43305989583333,26.254109928155557,2.7692351,65.80251171754436,0.0,0.0,100,10.0,-1,-33.32663117877697,0.0,6.364731227004754,9.54709684050713,2,7
17,1763653942.2702467,38.52811197916667,26.332890614579423,2.7721949,65.90097745495078,0.0,0.0,100,10.0,0,-33.11732567960024,0.0,6.615412477484418,9.923118716226627,3,7
18,1763653942.3366575,38.57146701388889,26.379074463469316,2.7734394,66.23879791116596,0.0,0.0,101,10.100000000000001,1,-33.026659474498224,0.0,6.267943873865537,9.401915810798306,4,7
19,1763653942.4034846,39.01207465277778,26.791569012937305,2.788093,68.01809687379438,0.0,0.0,104,10.4,3,-32.53012047893129,0.0,6.640358212657183,9.960537318985775,5,7
20,1763653942.5031695,39.92560329861111,27.65814720157296,2.8186655,71.75008641204832,0.0,0.0,114,11.4,10,-31.624531130770574,0.0,6.399631030461588,9.599446545692382,6,7
21,1763653942.5699623,43.775928819444445,31.37036832936352,2.9339304,87.51098310816262,0.0,0.0,104,10.4,-10,-27.357935368793466,-1.6301273075293508,3.6888394586313735,3.903131880417709,0,7
22,1763653942.6364193,40.07556857638889,27.82198537343137,2.823391,72.18401361760267,0.0,0.0,101,10.100000000000001,-3,-31.496575722343845,-22.731512098251695,3.2060100512045873,-17.922497021444812,1,7
23,1763653942.703265,39.26028211805556,27.05131987287966,2.7964585,69.22259207831488,0.0,0.0,111,11.100000000000001,10,-32.38802053668474,-30.220508291387727,2.150161676335812,-26.995265776884008,6,7
24,1763653942.7698495,42.80736111111111,30.46318930137266,2.9042535,83.23117764604358,0.0,0.0,110,11.0,-1,-28.10884261863011,-28.433153559413622,3.359598840381737,-23.393755298841015,2,7
25,1763653942.8361557,42.54171875,30.20854245612781,2.8969505,82.02990860006075,0.0,0.0,113,11.3,3,-28.143103127911317,-28.056070952139457,2.3463821965838134,-24.536497657263737,5,7
26,1763653942.9029517,43.865512152777775,31.505105458693418,2.9364562,87.73946638302273,0.0,0.0,112,11.200000000000001,-1,-26.631963399376655,-26.279004971443744,2.3130067392896443,-22.809494862509275,2,7
27,1763653943.0029023,43.457821180555555,31.12457441324337,2.923669,86.09293641717227,0.0,0.0,112,11.200000000000001,0,-26.976294951031328,-25.86366665704273,3.4943266455251822,-20.62217668875496,3,7
28,1763653943.069219,43.57453125,31.253726315984146,2.9279735,86.96590553338321,0.0,0.0,115,11.5,3,-26.88505865033923,-25.79226326834194,2.0806983295630217,-22.67121577399741,5,7
29,1763653943.1358476,44.964457465277775,32.627200193356956,2.9697242,93.39570521223277,0.0,0.0,114,11.4,-1,-25.33196191802587,-26.152946404743027,1.6712934589434896,-23.64600621632779,2,7
30,1763653943.2027404,44.680811631944444,32.34900350304264,2.961082,91.5264357873234,0.0,0.0,113,11.3,-1,-25.559545233380145,-25.526690527047535,2.22698237822233,-22.186216959714038,2,7
31,1763653943.2695124,44.39938368055556,32.09343236024805,2.9523978,91.07997424647955,0.0,0.0,112,11.200000000000001,-1,-25.86359976944742,-25.0781171572499,0.9924770862078616,-23.589401527938108,2,7
32,1763653943.3358521,43.9144921875,31.62549313478239,2.937764,88.79450448448274,0.0,0.0,111,11.100000000000001,-1,-26.449773285884397,-24.324835406986455,1.5250013667000957,-22.037333356936312,2,7
33,1763653943.402516,43.62189236111111,31.341184104493358,2.9288788,87.65984803510125,0.0,0.0,110,11.0,-1,-26.76650733720154,-22.71784843940736,2.198825295330303,-19.419610496411906,2,7
34,1763653943.502465,16.643068576388888,4.3279995371489095,1.5262899,9.267013692898221,0.0,0.0,113,11.3,3,-50.0,-25.971557134369853,2.1552697820747646,-22.738652461257708,5,7
35,1763653943.5692995,16.685,4.384334565624906,1.5360456,9.359631075465826,0.0,0.0,123,12.3,10,-50.0,-45.72878625464402,8.671044569172112,-32.72221940088585,6,7
36,1763653943.635785,17.218971354166666,4.737399073706418,1.6050094,9.677499960138768,0.0,0.0,124,12.4,1,-50.0,-37.201295824494125,7.811186195347791,-25.484516531472437,4,7
37,1763653943.7024858,17.23884982638889,4.753783606027309,1.6075966,9.679678806709948,0.0,0.0,124,12.4,0,-50.0,-40.538340511372404,5.483367138265349,-32.313289803974385,3,7
38,1763653943.7692554,17.225512152777778,4.751477675658685,1.6068726,9.734122964816626,0.0,0.0,134,13.4,10,-50.0,-29.583040137869553,4.323580807228354,-23.097668927027023,6,7
39,1763653943.835413,17.811219618055556,5.131905069367907,1.6705649,10.196770730176384,0.0,0.0,124,12.4,-10,-50.0,-39.303934250204854,4.174162466642166,-33.0426905502416,0,7
40,1763653943.9021213,17.208072916666666,4.7446547887204185,1.6057425,9.709279421582632,0.0,0.0,121,12.100000000000001,-3,-50.0,-39.44406286208048,3.567027035984639,-34.093522308103516,1,7
41,1763653944.0021203,17.0465625,4.638787855348322,1.5863736,9.61920999228395,0.0,0.0,120,12.0,-1,-50.0,-38.95811603341179,3.057522490010087,-34.37183229839666,2,7
42,1763653944.068626,16.96916232638889,4.588805397419491,1.576819,9.540260413953991,0.0,0.0,123,12.3,3,-50.0,-32.77848017596308,2.3839520437558317,-29.202552110329336,5,7
43,1763653944.1355755,17.1488671875,4.709240788443653,1.5998075,9.69153638117284,0.0,0.0,123,12.3,0,-50.0,-35.99079175766775,2.989248699053685,-31.506918709087223,3,7
44,1763653944.2021477,17.148324652777777,4.70797157225446,1.5995584,9.695355891927084,0.0,0.0,133,13.3,10,-50.0,-33.89611696015915,3.18645410910972,-29.116435796494567,6,7
45,1763653944.2687519,17.748641493055555,5.0927091109238365,1.6627302,10.155611809153616,0.0,0.0,134,13.4,1,-50.0,-36.09394747879303,3.9106732512143836,-30.22793760197145,4,7
46,1763653944.3353548,17.80044704861111,5.127073663285778,1.6690376,10.193849820944703,0.0,0.0,131,13.100000000000001,-3,-50.0,-39.25366886237124,3.2626634338791844,-34.35967371155247,1,7
47,1763653944.4019587,17.6193359375,5.009093665593374,1.6500461,10.091640624924647,0.0,0.0,134,13.4,3,-50.0,-28.79493388846499,3.670717210293222,-23.288858073025157,5,7
48,1763653944.5017195,17.79504340277778,5.121956896151398,1.668529,10.207864519962262,0.0,0.0,135,13.5,1,-50.0,-42.38418843149162,2.5766350249482066,-38.51923589406931,4,7
49,1763653944.568217,17.848463541666668,5.157486491512036,1.6734486,10.157170083957249,0.0,0.0,134,13.4,-1,-50.0,-38.84781593567683,2.9885647864224296,-34.36496875604318,2,7
50,1763653944.6346965,17.796085069444445,5.126727210954467,1.6693475,10.112148376295304,0.0,0.0,134,13.4,0,-50.0,-42.577735944811785,1.6663862799546967,-40.07815652487974,3,7
51,1763653944.701635,17.793984375,5.121648320666814,1.6681526,10.122074643660179,0.0,0.0,124,12.4,-10,-50.0,-41.06753263421443,1.8780613530769392,-38.25044060459902,0,7
